Copies,Nickname,CardId,Art,FactionArt,Name,Types,ObjectiveText,Slots,Updated?
2,downsizing-the-damned,1,ambitions/downsizing-the-damned.png,,Downsizing the Damned,Grand Project,Destroy 3 of your imps.,4,
2,exclusive-patent-rights,2,ambitions/exclusive-patent-rights.png,,Exclusive Patent Rights,Grand Project,Be the archdevil or be placed first in at least 2 orders.,3,
2,executive-team-building-retreat,3,ambitions/executive-team-building-retreat.png,,Executive Team Building Retreat,Grand Project,Have 5 agent cards in hand.,4,
2,mandatory-cruelty-workshop,4,ambitions/mandatory-cruelty-workshop.png,,Mandatory Cruelty Workshop,Grand Project,Have 6 of your imps in 1 sector.,4,
2,mergers-executions,5,ambitions/mergers-and-executions.png,,Mergers & Executions,Grand Project,Discard 3 agent cards from hand.,3,
2,multi-level-tormenting,6,ambitions/multi-level-tormenting.png,,Multi-Level Tormenting,Grand Project,Rule 3 palaces.,3,
2,office-first-workplace,7,ambitions/office-first-workplace.png,,Office-First Workplace,Grand Project,Spend 5 souls from reserves into Pandemonium coffers.,4,
2,quarterly-soul-quotas,8,ambitions/quarterly-soul-quotas.png,,Quarterly Soul Quotas,Grand Project,Have 10 souls in reserves.,5,
0,agile-torture-spirits,,ambitions/agile-torture-spirits.png,,Agile Torture Spirits,Grand Project,,,
0,bored-board-of-directors,,ambitions/bored-of-directors.png,,Bored Board of Directors,Grand Project,,,
0,mortal-market-penetration,,ambitions/mortal-market-penetration.png,,Mortal Market Penetration,Grand Project,,,
0,network-sin-ergy,,ambitions/network-sin-ergy.png,,Network Sin...ergy,Grand Project,,,
0,out-of-the-portal-thinking,,ambitions/out-of-the-portal-thinking.png,,Out-of-the-Portal Thinking,Grand Project,,,
0,pit-computing,,ambitions/pit-computing.png,,Pit Computing,Grand Project,,,
0,r-d-reaping-and-damnation,,ambitions/r-d-reaping-and-damnation.png,,R&D: Reaping & Damnation,Grand Project,,,
